Business_Name,Location,Review text,Rating,Tokens
Paragon,"Shanthala nagar,Bengaluru",good ambience friendly staff and great food,5.0,"['good', 'ambience', 'friendly', 'staff', 'great', 'food']"
Paragon,"Shanthala nagar,Bengaluru",the food was very vibe and u must try coconut pudding is ultimate liked biriyani,5.0,"['food', 'vibe', 'u', 'must', 'try', 'coconut', 'pudding', 'ultimate', 'liked', 'biriyani']"
Paragon,"Shanthala nagar,Bengaluru",taste and service is best worth the wait,5.0,"['taste', 'service', 'best', 'worth', 'wait']"
Paragon,"Shanthala nagar,Bengaluru",go there for amazing seafood curriessuper yummy malabar biryanis and refreshing coolersdrinks,4.0,"['go', 'amazing', 'seafood', 'curriessuper', 'yummy', 'malabar', 'biryani', 'refreshing', 'coolersdrinks']"
Paragon,"Shanthala nagar,Bengaluru",incredible consistent food the fish veg mango curry appams fish tawa fry biryani incredible very well balanced flavours,5.0,"['incredible', 'consistent', 'food', 'fish', 'veg', 'mango', 'curry', 'appams', 'fish', 'tawa', 'fry', 'biryani', 'incredible', 'well', 'balanced', 'flavour']"
Paragon,"Shanthala nagar,Bengaluru",i love this restaurant every time i visit but this time i wanted to give review about their plum cake it tastes heavenly and i feel everyone has to give it a try,5.0,"['love', 'restaurant', 'every', 'time', 'visit', 'time', 'wanted', 'give', 'review', 'plum', 'cake', 'taste', 'heavenly', 'feel', 'everyone', 'give', 'try']"
Paragon,"Shanthala nagar,Bengaluru",poor food qualitydelayed deliverystale biryanipoor food qualityand the resturants lack of responsibility,1.0,"['poor', 'food', 'qualitydelayed', 'deliverystale', 'biryanipoor', 'food', 'qualityand', 'resturants', 'lack', 'responsibility']"
Paragon,"Shanthala nagar,Bengaluru",this place was recommended by a friend but the experience was disappointing we were seated quickly but they only gave one menu for a table of four and when we asked for another they provided the previous days menu,2.0,"['place', 'recommended', 'friend', 'experience', 'disappointing', 'seated', 'quickly', 'gave', 'one', 'menu', 'table', 'four', 'asked', 'another', 'provided', 'previous', 'day', 'menu']"
Paragon,"Shanthala nagar,Bengaluru",most yummiest food very expensive though,5.0,"['yummiest', 'food', 'expensive', 'though']"
Paragon,"Shanthala nagar,Bengaluru",i cant explain the taste very tasty and very clean tables hygienicly service food good quality,5.0,"['cant', 'explain', 'taste', 'tasty', 'clean', 'table', 'hygienicly', 'service', 'food', 'good', 'quality']"
Paragon,"Shanthala nagar,Bengaluru",food was good and service was impeccable wait time to get seated was long and service can be slow sometimes tried the iconic chicken biryani and fish starter it was excellent and will recommend,5.0,"['food', 'good', 'service', 'impeccable', 'wait', 'time', 'get', 'seated', 'long', 'service', 'slow', 'sometimes', 'tried', 'iconic', 'chicken', 'biryani', 'fish', 'starter', 'excellent', 'recommend']"
Paragon,"Shanthala nagar,Bengaluru",food was horrible dont understand the hype,1.0,"['food', 'horrible', 'dont', 'understand', 'hype']"
Paragon,"Shanthala nagar,Bengaluru",most yummiest food very expensive though,1.0,"['yummiest', 'food', 'expensive', 'though']"
Paragon,"Shanthala nagar,Bengaluru",best place in bengaluru to have kerala food,5.0,"['best', 'place', 'bengaluru', 'kerala', 'food']"
Paragon,"Shanthala nagar,Bengaluru",must try is mango fish curry and authentic biryani service is fast and quality of food is top notch,4.0,"['must', 'try', 'mango', 'fish', 'curry', 'authentic', 'biryani', 'service', 'fast', 'quality', 'food', 'top', 'notch']"
Paragon,"Shanthala nagar,Bengaluru",too good best place for kerala cuisine,5.0,"['good', 'best', 'place', 'kerala', 'cuisine']"
Paragon,"Shanthala nagar,Bengaluru",the overall experience was great and is place that would call you back again great work paragon team,5.0,"['overall', 'experience', 'great', 'place', 'would', 'call', 'back', 'great', 'work', 'paragon', 'team']"
Paragon,"Shanthala nagar,Bengaluru",the food is really very good and the prices are justified the portions are also healthy,5.0,"['food', 'really', 'good', 'price', 'justified', 'portion', 'also', 'healthy']"
Paragon,"Shanthala nagar,Bengaluru",we went especially to try the chicken biryani it was good and portions very nice,5.0,"['went', 'especially', 'try', 'chicken', 'biryani', 'good', 'portion', 'nice']"
Paragon,"Shanthala nagar,Bengaluru",visited more than 50 times most of the time keep waiting like stray dogs on the door due to this stopped the visits over there no proper reservation system there,1.0,"['visited', '50', 'time', 'time', 'keep', 'waiting', 'like', 'stray', 'dog', 'door', 'due', 'stopped', 'visit', 'proper', 'reservation', 'system']"
Paragon,"Shanthala nagar,Bengaluru",it is a must visit place for kerala malabar food lovers the food is a bit expensive but quite delicious what impressed me the most was their service impeccable,5.0,"['must', 'visit', 'place', 'kerala', 'malabar', 'food', 'lover', 'food', 'bit', 'expensive', 'quite', 'delicious', 'impressed', 'service', 'impeccable']"
Paragon,"Shanthala nagar,Bengaluru",i highly appreciate and recommend this restaurant for its excellent food options tasty food,5.0,"['highly', 'appreciate', 'recommend', 'restaurant', 'excellent', 'food', 'option', 'tasty', 'food']"
Paragon,"Shanthala nagar,Bengaluru",food is amazing so much better than any other kerela restaurant in bangalore keep up the taste,5.0,"['food', 'amazing', 'much', 'better', 'kerela', 'restaurant', 'bangalore', 'keep', 'taste']"
Paragon,"Shanthala nagar,Bengaluru",it is a must visit place for kerala malabar food lovers the food is a bit expensive but quite delicious what impressed me the most was their service,4.0,"['must', 'visit', 'place', 'kerala', 'malabar', 'food', 'lover', 'food', 'bit', 'expensive', 'quite', 'delicious', 'impressed', 'service']"
Paragon,"Shanthala nagar,Bengaluru",dining,5.0,['dining']
Paragon,"Shanthala nagar,Bengaluru",delicious food,5.0,"['delicious', 'food']"
Paragon,"Shanthala nagar,Bengaluru",went there for breakfast on a weekend the service is prompt and food is delicious the appams and stew took us back to kerala,5.0,"['went', 'breakfast', 'weekend', 'service', 'prompt', 'food', 'delicious', 'appams', 'stew', 'took', 'u', 'back', 'kerala']"
Paragon,"Shanthala nagar,Bengaluru",their menu is the exact same and theyve managed to keep their standard on quality the same as well,5.0,"['menu', 'exact', 'theyve', 'managed', 'keep', 'standard', 'quality', 'well']"
Paragon,"Shanthala nagar,Bengaluru",i would say food and service for us was average,2.0,"['would', 'say', 'food', 'service', 'u', 'average']"
Paragon,"Shanthala nagar,Bengaluru",great food same taste as calicut,5.0,"['great', 'food', 'taste', 'calicut']"
Paragon,"Shanthala nagar,Bengaluru",very good food good ambience like a home food very testy,5.0,"['good', 'food', 'good', 'ambience', 'like', 'home', 'food', 'testy']"
